n,b_per_K,dT_K,pressure_Torr,R_total_percent
0.5,0.0,20.0,0.0003627713575842168,2.8479170171290535
0.5,0.0,20.0,0.0003818481302908447,2.844232935217361
0.5,0.0,20.0,0.000401928078273833,2.8403657206194755
0.5,0.0,20.0,0.0004230639547242269,2.836306837787461
0.5,0.0,20.0,0.00044531128692373064,2.832047412609917
0.5,0.0,20.0,0.00046872852212363986,2.8275782252764614
0.5,0.0,20.0,0.0004933771810949873,2.8228897037286815
0.5,0.0,20.0,0.0005193220197533174,2.817971917804085
0.5,0.0,20.0,0.0005466311992826877,2.812814574188849
0.5,0.0,20.0,0.0005753764652058564,2.807407012306107
0.5,0.0,20.0,0.0006056333358710846,2.8017382012764713
0.5,0.0,20.0,0.0006374813008507548,2.7957967380986437
0.5,0.0,20.0,0.0006710040297730123,2.7895708472092107
0.5,0.0,20.0,0.0007062895921350836,2.7830483815917573
0.5,0.0,20.0,0.0007434306886757332,2.7762168256172393
0.5,0.0,20.0,0.0007825248949147308,2.7690632998082165
0.5,0.0,20.0,0.000823674917499137,2.7615745677311843
0.5,0.0,20.0,0.0008669888640298618,2.753737045231297
0.5,0.0,20.0,0.0009125805270773933,2.7455368122336843
0.5,0.0,20.0,0.000960569683132825,2.7369596273450147
0.5,0.0,20.0,0.0010110824072795995,2.727990945495562
0.5,0.0,20.0,0.0010642514044126353,2.7186159388692843
0.5,0.0,20.0,0.0011202163578750272,2.708819521372652
0.5,0.0,20.0,0.001179124296428216,2.698586376895662
0.5,0.0,20.0,0.0012411299805197495,2.687900991616532
0.5,0.0,20.0,0.0013063963088633807,2.6767476905985133
0.5,0.0,20.0,0.001375094746399698,2.665110678918703
0.5,0.0,20.0,0.0014474057747615632,2.652974087556692
0.5,0.0,20.0,0.0015235193664278428,2.6403220242543046
0.5,0.0,20.0,0.0016036354838110682,2.627138629535297
0.5,0.0,20.0,0.0016879646045902495,2.613408138045914
0.5,0.0,20.0,0.0017767282746689304,2.5991149453426843
0.5,0.0,20.0,0.001870159690211239,2.5842436802131052
0.5,0.0,20.0,0.0019685043102849846,2.5687792825655587
0.5,0.0,20.0,0.0020720205017213666,2.5527070868697876
0.5,0.0,20.0,0.002180980217885382,2.5360129110645113
0.5,0.0,20.0,0.002295669713140234,2.518683150777523
0.5,0.0,20.0,0.0024163902948826843,2.500704878623372
0.5,0.0,20.0,0.0025434591151251343,2.482065948257217
0.5,0.0,20.0,0.0026772100037039774,2.4627551027678773
