n,b_per_K,dT_K,pressure_Torr,pressure_Pa,R_rad,f_rad,f_rad_reverse,R_total,q_rad_fwd_W_m2,q_rad_rev_W_m2,q_gas_W_m2,q_total_fwd_W_m2,q_total_rev_W_m2
1.0,0.0,10.0,0.0075,0.999915,0.029192484366279636,0.6632157332748215,0.6600189481116437,0.019267592824197655,17.695374161073826,17.19345450911417,8.856486266534377,26.551860427608204,26.049940775648544
1.0,0.0,10.0,7.5e-06,0.000999915,0.029192484366279636,0.9994844862144281,0.9994770762116011,0.02917721892176206,17.695374161073826,17.19345450911417,0.008995570365303312,17.70436973143913,17.202450079479473
1.0,0.0,20.0,760.0,101324.72,0.0592506534998547,0.029594572772721223,0.02879120122135966,0.0017058974874113453,35.91546831948882,33.90648681765835,1143.7618764079702,1179.677344727459,1177.6683632256286
1.0,0.0,20.0,36.0,4799.592000000001,0.0592506534998547,0.029956779894167816,0.02914387119610659,0.0017267934138849306,35.91546831948882,33.90648681765835,1129.510911972795,1165.4263802922837,1163.4173987904533
1.0,0.0,20.0,0.0075,0.999915,0.0592506534998547,0.6632157332748215,0.6568547451704518,0.038919072905829966,35.91546831948882,33.90648681765835,17.712972533068754,53.628440852557574,51.6194593507271
1.0,0.0,20.0,7.5e-06,0.000999915,0.0592506534998547,0.9994844862144281,0.9994696708154898,0.059219231149102436,35.91546831948882,33.90648681765835,0.017991140730606623,35.933459460219424,33.924477958388955
1.5,0.0,5.0,760.0,101324.72,0.021814208034145466,0.029594572772721223,0.029286642470802707,0.0006388649114796863,8.815077646387087,8.626888897294053,285.94046910199256,294.75554674837963,294.5673579992866
1.5,0.0,5.0,36.0,4799.592000000001,0.021814208034145466,0.029956779894167816,0.02964519597481306,0.0006466864722074472,8.815077646387087,8.626888897294053,282.37772799319873,291.1928056395858,291.0046168904928
1.5,0.0,5.0,0.0075,0.999915,0.021814208034145466,0.6632157332748215,0.6608044160027681,0.014414925000566514,8.815077646387087,8.626888897294053,4.4282431332671885,13.243320779654276,13.055132030561243
1.5,0.0,5.0,7.5e-06,0.000999915,0.021814208034145466,0.9994844862144281,0.9994789035240672,0.021802840727213724,8.815077646387087,8.626888897294053,0.004497785182651656,8.819575431569739,8.631386682476705
1.5,0.0,10.0,760.0,101324.72,0.04410677463513246,0.029594572772721223,0.028982523371004484,0.0012783256266823972,17.822133104879597,17.06926296987932,571.8809382039851,589.7030713088648,588.9502011738645
1.5,0.0,10.0,36.0,4799.592000000001,0.04410677463513246,0.029956779894167816,0.02933746610233321,0.001293981005741518,17.822133104879597,17.06926296987932,564.7554559863975,582.5775890912771,581.8247189562768
1.5,0.0,10.0,0.0075,0.999915,0.04410677463513246,0.6632157332748215,0.6583903444497139,0.02903947454459077,17.822133104879597,17.06926296987932,8.856486266534377,26.678619371413973,25.925749236413694
1.5,0.0,10.0,7.5e-06,0.000999915,0.04410677463513246,0.9994844862144281,0.9994732735574821,0.044083542430638056,17.822133104879597,17.06926296987932,0.008995570365303312,17.8311286752449,17.078258540244622
1.5,0.0,20.0,760.0,101324.72,0.09017984010620994,0.029594572772721223,0.028385372864483553,0.002559788386274242,36.42791566679184,33.414593011775814,1143.7618764079702,1180.1897920747622,1177.1764694197461
1.5,0.0,20.0,36.0,4799.592000000001,0.09017984010620994,0.029956779894167816,0.028733218824897253,0.002591157079365969,36.42791566679184,33.414593011775814,1129.510911972795,1165.9388276395869,1162.9255049845708
